lead_id,stage_at_cutoff,contact_group,latest_explicit_interest,ever_said_busy,ever_requested_callback,quality_group
BL-001,Cant Afford/Not target audience,At least one real discussion,positive,False,False,researching
BL-002,Follow Up,At least one real discussion,mixed,True,True,medium_term
BL-003,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-004,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-005,Dead Lead,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,medium_term
BL-006,Dead Lead,At least one real discussion,mixed,True,True,medium_term
BL-007,Follow Up,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-008,Follow Up,At least one real discussion,mixed,False,False,medium_term
BL-009,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,budget_objection
BL-010,Dead Lead,Only a brief chat or practical arrangements,positive,True,True,medium_term
BL-011,Follow Up,At least one real discussion,mixed,False,True,medium_term
BL-012,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,medium_term
BL-013,Cant visit to London,At least one real discussion,mixed,False,True,researching
BL-014,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-015,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-016,Cant Afford/Not target audience,Only a brief chat or practical arrangements,not_assessable,False,True,medium_term
BL-017,Booked - paid consultation,At least one real discussion,positive,False,False,medium_term
BL-018,Follow Up,At least one real discussion,mixed,True,True,medium_term
BL-019,Dead Lead,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-020,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-021,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-022,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-023,Unable to connect,At least one real discussion,positive,False,True,medium_term
BL-024,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-025,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-026,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,medium_term
BL-027,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-028,Dead Lead,Only a brief chat or practical arrangements,not_assessable,False,False,near_term
BL-029,Follow Up,At least one real discussion,positive,False,False,near_term
BL-030,Dead Lead,Only a brief chat or practical arrangements,not_assessable,False,False,near_term
BL-031,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,budget_objection
BL-032,Dead Lead,Only a brief chat or practical arrangements,not_assessable,True,True,medium_term
BL-033,Dead Lead,At least one real discussion,negative,True,True,near_term
BL-034,Cant visit to London,At least one real discussion,mixed,True,True,medium_term
BL-035,Follow Up,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-036,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-037,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-038,Dead Lead,At least one real discussion,negative,True,True,medium_term
BL-039,Follow Up,At least one real discussion,positive,False,True,medium_term
BL-040,Follow Up,At least one real discussion,not_assessable,False,False,medium_term
BL-041,Dead Lead,At least one real discussion,not_assessable,True,True,medium_term
BL-042,Follow Up,At least one real discussion,mixed,False,True,researching
BL-043,Dead Lead,Only a brief chat or practical arrangements,not_assessable,True,True,medium_term
BL-044,Follow Up,At least one real discussion,mixed,True,True,researching
BL-045,Cant visit to London,At least one real discussion,mixed,True,True,medium_term
BL-046,Visit registered,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,medium_term
BL-047,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-048,Contacted,At least one real discussion,mixed,False,True,medium_term
BL-049,Contacted,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,medium_term
BL-050,Follow Up,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-051,Follow Up,At least one real discussion,positive,False,True,near_term
BL-052,Follow Up,At least one real discussion,mixed,True,True,medium_term
BL-053,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-054,Cant visit to London,At least one real discussion,mixed,False,True,medium_term
BL-055,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-056,Follow Up,At least one real discussion,mixed,True,True,researching
BL-057,Follow Up,At least one real discussion,positive,True,True,near_term
BL-058,Cant Afford/Not target audience,At least one real discussion,negative,True,True,researching
BL-059,Follow Up,At least one real discussion,mixed,True,True,near_term
BL-060,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-061,Contacted,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,budget_objection
BL-062,Contacted,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,researching
BL-063,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-064,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-065,Follow Up,Only a brief chat or practical arrangements,positive,True,True,medium_term
BL-066,Follow Up,At least one real discussion,positive,False,False,unconfirmed
BL-067,Follow Up,At least one real discussion,mixed,False,False,near_term
BL-068,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-069,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-070,Cant Afford/Not target audience,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-071,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,researching
BL-072,Visit registered,At least one real discussion,positive,False,True,medium_term
BL-073,Follow Up,At least one real discussion,mixed,False,False,unconfirmed
BL-074,Visit registered,At least one real discussion,positive,True,False,researching
BL-075,Dead Lead,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-076,Cant Afford/Not target audience,At least one real discussion,mixed,True,False,budget_objection
BL-077,Dead Lead,Only a brief chat or practical arrangements,not_assessable,False,False,medium_term
BL-078,Contacted,No outgoing or incoming call recorded after the enquiry,not_assessable,False,False,near_term
BL-079,Dead Lead,At least one real discussion,negative,False,False,near_term
BL-080,Follow Up,At least one real discussion,positive,True,True,researching
BL-081,Follow Up,At least one real discussion,mixed,False,True,researching
BL-082,Dead Lead,At least one real discussion,not_assessable,True,True,medium_term
BL-083,Follow Up,At least one real discussion,positive,True,True,researching
BL-084,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-085,Booked - paid consultation,At least one real discussion,positive,False,True,medium_term
BL-086,Follow Up,At least one real discussion,positive,False,True,near_term
BL-087,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-088,Follow Up,At least one real discussion,positive,True,True,near_term
BL-089,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,budget_objection
BL-090,Unable to connect,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,medium_term
BL-091,Follow Up,Only a brief chat or practical arrangements,not_assessable,True,True,medium_term
BL-092,Follow Up,At least one real discussion,positive,False,False,medium_term
BL-093,Unable to connect,Only a brief chat or practical arrangements,not_assessable,True,True,unconfirmed
BL-094,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-095,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-096,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-097,Contacted,"Only greetings, unclear speech or missing recordings; breakdown below",not_assessable,False,False,near_term
BL-098,Follow Up,At least one real discussion,positive,False,True,near_term
BL-099,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-100,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-101,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,researching
BL-102,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-103,Contacted,At least one real discussion,mixed,True,True,budget_objection
BL-104,Contacted,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,near_term
BL-105,Unable to connect,"Voicemail, no answer, busy or failed calls, automated messages or wrong numbers; no conversation with the lead",not_assessable,False,False,medium_term
BL-106,Follow Up,At least one real discussion,positive,True,True,researching
