lead_id,objection
BL-001,Treatment timing or appointment dates do not work
BL-006,Treatment timing or appointment dates do not work
BL-013,Treatment timing or appointment dates do not work
BL-017,Treatment timing or appointment dates do not work
BL-018,Treatment timing or appointment dates do not work
BL-034,Treatment timing or appointment dates do not work
BL-038,Treatment timing or appointment dates do not work
BL-041,Treatment timing or appointment dates do not work
BL-042,Treatment timing or appointment dates do not work
BL-059,Treatment timing or appointment dates do not work
BL-067,Treatment timing or appointment dates do not work
BL-073,Treatment timing or appointment dates do not work
BL-083,Treatment timing or appointment dates do not work
BL-085,Treatment timing or appointment dates do not work
BL-107,Treatment timing or appointment dates do not work
BL-126,Treatment timing or appointment dates do not work
BL-002,Unsure about the treatment type or expected results
BL-040,Unsure about the treatment type or expected results
BL-044,Unsure about the treatment type or expected results
BL-057,Unsure about the treatment type or expected results
BL-079,Unsure about the treatment type or expected results
BL-086,Unsure about the treatment type or expected results
BL-115,Unsure about the treatment type or expected results
BL-159,Unsure about the treatment type or expected results
BL-011,Clinic is too far away / travel is difficult
BL-013,Clinic is too far away / travel is difficult
BL-045,Clinic is too far away / travel is difficult
BL-066,Clinic is too far away / travel is difficult
BL-126,Clinic is too far away / travel is difficult
BL-153,Clinic is too far away / travel is difficult
BL-160,Clinic is too far away / travel is difficult
BL-072,"Concerns about suitability, safety or recovery"
BL-074,"Concerns about suitability, safety or recovery"
BL-086,"Concerns about suitability, safety or recovery"
BL-113,"Concerns about suitability, safety or recovery"
BL-156,"Concerns about suitability, safety or recovery"
BL-176,"Concerns about suitability, safety or recovery"
BL-181,"Concerns about suitability, safety or recovery"
BL-052,Cannot afford the treatment or deposit right now
BL-054,Cannot afford the treatment or deposit right now
BL-081,Cannot afford the treatment or deposit right now
BL-103,Cannot afford the treatment or deposit right now
BL-107,Cannot afford the treatment or deposit right now
BL-184,Cannot afford the treatment or deposit right now
BL-048,Consultation price too much
BL-056,Consultation price too much
BL-076,Consultation price too much
BL-086,Consultation price too much
BL-008,"Other money, price or consultation-fee concerns"
BL-115,"Other money, price or consultation-fee concerns"
BL-120,"Other money, price or consultation-fee concerns"
BL-174,"Other money, price or consultation-fee concerns"
BL-085,Does not want to pay in advance / worries about online payment
BL-086,Does not want to pay in advance / worries about online payment
BL-106,Does not want to pay in advance / worries about online payment
BL-184,Does not want to pay in advance / worries about online payment
BL-038,"Wants more research, reviews or reassurance first"
BL-086,"Wants more research, reviews or reassurance first"
BL-086,Problems sending photos or getting a response
BL-176,Problems sending photos or getting a response
BL-033,Chose or booked another provider
BL-079,Chose or booked another provider
BL-038,Does not want more follow-up calls
BL-058,Does not want more follow-up calls
BL-176,Concerns about the clinic after a bad experience elsewhere
BL-159,Needs to discuss it with a partner first
BL-157,Changed their mind / no longer wants treatment
