lead_id,direction,recording_available,reason,needed_to_confirm
BL-001,inbound,True,"Inbound audio transcript contains two hellos from the same labelled speaker. No voicemail greeting, message, or reciprocal conversation is established.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-001,outbound,True,"Only a sequence of digits is transcribed. There is insufficient evidence for voicemail, automation, or live conversation.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-001,outbound,True,"Only a sequence of digits is transcribed. There is insufficient evidence for voicemail, automation, or live conversation.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-005,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-006,outbound,True,Only one ambiguous hello precedes staff introduction. No responsive recipient turn or identity confirmation establishes live lead contact.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Short business greeting alone does not establish whether this is a recorded greeting or a live person. No reciprocal exchange or explicit message prompt is present.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,inbound,True,"Separated fragments from two labelled speakers do not establish an intelligible reciprocal exchange or the lead identity. Speech is present, so this is not treated as silence or confirmed voicemail.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-010,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-018,outbound,True,Repeated hello with staff asking whether recipient can hear. Staff asserts prior call but recipient does not confirm identity; no substantive response. Cannot confirm lead identity from transcript alone.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-022,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-022,outbound,True,Clear voicemail greeting is followed by a possible second-speaker interjection and the agent asking whether the lead is there. The transcript cannot determine whether a live pickup occurred. Not counted as confirmed conversation or voicemail-only.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-023,outbound,True,"Live caller mistook clinic for another person and discusses absence from work. Transcript does not reliably establish an enquiry callback, correct recipient role, or buying intent. Human audio exists, but lead contact and callback context require original audio/context checking.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-023,outbound,True,Only one ambiguous greeting/unavailability fragment. Could be recorded mailbox greeting; no responsive exchange confirms live lead contact or human busy.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-032,outbound,True,"Brief hello and just-a-second exchange, with lead name spoken by caller only. Insufficient recipient identity or enquiry context to assert confirmed lead contact.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-044,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-044,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-046,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-049,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-061,outbound,False,No recording or transcript is available. GHL status alone does not show whether the lead answered. Recording and transcript endpoints checked again on 23 September: HTTP 422 and 400 respectively; no audio or transcript returned.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-062,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-064,outbound,False,No recording or transcript is available. GHL status alone does not show whether the lead answered. Recording and transcript endpoints checked again on 23 September: HTTP 422 and 400 respectively; no audio or transcript returned.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-071,outbound,True,"Call screening is followed by a possible recipient greeting, but no response confirms the requested lead or a lead conversation. Preserve unknown.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-082,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-086,inbound,True,Silence and a lone hello do not establish who answered or whether there was a live exchange.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-090,outbound,False,No recording or transcript is available. GHL status alone does not show whether the lead answered. Recording and transcript endpoints checked again on 23 September: HTTP 422 and 400 respectively; no audio or transcript returned.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-097,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-107,outbound,True,"Empty transcript cannot establish silence, answer or outcome.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-109,outbound,True,Only isolated greetings or an unanswered identity question; no responsive exchange identifying the lead is established. Preserve unknown rather than infer voicemail or a lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-113,inbound,True,"Empty transcript cannot establish silence, answer or outcome.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-113,outbound,True,"Empty transcript cannot establish silence, answer or outcome.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-117,outbound,True,Repeated greetings with unclear speaker identity; no reliable lead-specific responsive exchange.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-127,outbound,True,"Someone responds asking who is calling, but never confirms being the requested lead; brief human answer possible, lead identity remains unestablished.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-131,outbound,True,Two hellos alone do not establish recipient identity or a live lead conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-143,outbound,True,Agent introduction only before abrupt end; no recipient reply establishes live lead contact.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-145,outbound,True,Only hello and agent question after screening; live lead identity not established.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-146,outbound,True,Empty transcript is not proof of silence or specific call outcome.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-148,outbound,True,Unintelligible short non-English transcription; cannot reliably classify as mailbox or live speech.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-149,outbound,True,"Agent greeting only, no established responsive recipient.",Original recording or confirmation from the clinic identifying who answered and what happened.
BL-149,outbound,True,No speech transcribed; cannot infer a specific outcome.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-151,outbound,True,Only partial digits transcribed; cannot establish mailbox or conversation.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-151,outbound,True,Only partial digits are transcribed. No live exchange or complete mailbox greeting established.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-156,outbound,True,Isolated unclear fragment cannot establish mailbox or live contact.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-160,outbound,False,No recording or transcript is available. GHL status alone does not show whether the lead answered. Recording and transcript endpoints checked again on 23 September: HTTP 422 and 400 respectively; no audio or transcript returned.,Original recording or confirmation from the clinic identifying who answered and what happened.
BL-179,outbound,True,"Recipient asks who is calling, but no clear identity confirmation or enquiry response before recording ends. Live person likely; live lead identity unconfirmed.",Original recording or confirmation from the clinic identifying who answered and what happened.
