lead_id,direction,outcome,interest,lead_said_busy,callback_requested,objection,next_step
BL-001,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-001,inbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-001,inbound,unknown,not_assessable,,,not_assessable,unclear
BL-001,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-001,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-001,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-001,outbound,substantive_conversation,positive,False,False,timing,booked
BL-002,outbound,substantive_conversation,mixed,True,True,treatment_expectation,send_information
BL-002,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-003,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-003,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-003,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-003,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-003,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-004,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-005,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-005,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-006,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-006,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-006,outbound,substantive_conversation,mixed,True,True,timing,callback
BL-006,outbound,brief_human_other,neutral_unclear,False,False,none_stated,none_stated
BL-006,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-007,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-008,outbound,substantive_conversation,mixed,False,False,price,send_information
BL-008,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-008,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-008,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-009,outbound,failed,not_assessable,False,False,not_assessable,none_stated
BL-009,outbound,failed,not_assessable,False,False,not_assessable,none_stated
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-010,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-010,outbound,human_busy_callback,positive,True,True,none_stated,send_information
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-010,inbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,human_busy_callback,neutral_unclear,True,True,timing,callback
BL-010,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-010,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-011,inbound,substantive_conversation,mixed,False,True,travel_location,callback
BL-011,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-011,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-012,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-012,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-012,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-012,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-012,outbound,human_busy_callback,neutral_unclear,False,True,none_stated,callback
BL-013,outbound,substantive_conversation,mixed,False,False,timing,none_stated
BL-013,outbound,substantive_conversation,mixed,False,True,travel_location,callback
BL-014,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-014,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-014,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-014,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-015,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-016,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-016,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-016,outbound,human_busy_callback,neutral_unclear,False,True,other_stated,callback
BL-016,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-017,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-017,outbound,substantive_conversation,positive,False,False,timing,booked
BL-018,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-018,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-018,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-018,outbound,substantive_conversation,mixed,False,True,timing,callback
BL-019,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-019,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-019,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-019,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-019,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-019,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-020,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-020,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-021,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-021,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-021,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-021,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-021,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-022,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-022,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-023,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-023,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-023,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-023,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-023,outbound,substantive_conversation,positive,False,True,none_stated,send_information
BL-023,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-024,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-024,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-025,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-026,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-026,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-026,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-026,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-027,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-027,inbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,no_answer,not_assessable,False,False,not_assessable,none_stated
BL-027,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-028,outbound,brief_human_other,neutral_unclear,False,False,none_stated,none_stated
BL-028,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-029,outbound,substantive_conversation,positive,False,False,none_stated,send_information
BL-029,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-029,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-030,outbound,brief_human_other,neutral_unclear,False,False,none_stated,none_stated
BL-030,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-030,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-031,outbound,automated_system,not_assessable,False,False,not_assessable,none_stated
BL-032,outbound,human_busy_callback,neutral_unclear,True,False,none_stated,none_stated
BL-032,outbound,unknown,not_assessable,,,not_assessable,unclear
BL-032,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-033,outbound,substantive_conversation,negative,False,False,already_treated_elsewhere,no_further_contact
BL-033,outbound,substantive_conversation,positive,True,True,none_stated,send_information
BL-033,outbound,brief_human_other,neutral_unclear,False,False,none_stated,none_stated
BL-034,outbound,substantive_conversation,neutral_unclear,False,True,none_stated,callback
BL-034,outbound,substantive_conversation,mixed,False,True,timing,none_stated
BL-034,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-034,outbound,substantive_conversation,mixed,False,False,timing,send_information
BL-035,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-035,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-036,outbound,brief_human_other,neutral_unclear,False,False,none_stated,none_stated
BL-036,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-036,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-037,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-038,outbound,brief_decline,negative,False,False,other_stated,no_further_contact
BL-038,outbound,human_busy_callback,neutral_unclear,True,False,none_stated,none_stated
BL-038,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-038,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-038,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-038,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-038,outbound,substantive_conversation,positive,True,True,timing,callback
BL-038,outbound,substantive_conversation,mixed,False,False,other_stated,send_information
BL-038,outbound,human_busy_callback,neutral_unclear,True,True,none_stated,callback
BL-038,outbound,human_busy_callback,neutral_unclear,True,True,timing,callback
BL-038,outbound,human_busy_callback,neutral_unclear,True,True,other_stated,callback
BL-038,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-038,outbound,voicemail,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
BL-039,outbound,technical_busy,not_assessable,False,False,not_assessable,none_stated
